smiles,solvent,absorption,emission,log_molar_absorptivity,quantum_yield
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=NC=C3)=O,CC1=CC=CC=C1,429,458,4.8122,0.8900
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=NC=C3)=O,ClC(Cl)Cl,438,464,4.8820,0.7200
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=NC=C3)=O,C1CCOC1,431,470,4.8182,0.9700
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=NC=C3)=O,CC(C)=O,431,474,4.8248,0.1800
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=NC=C3)=O,CC#N,432.5,477,4.8261,0.0800
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=NC=C3)=O,CO,438,475,4.8519,0.0500
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=NC=C3)=O,O=S(C)C,439,485,4.7931,0.0900
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=NC=C3)=O,[H]O[H],447.5,535,4.2355 ,0.0300 
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=C(F)C=C3)=O,CC1=CC=CC=C1,426,456,4.6232 ,0.6700
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=C(F)C=C3)=O,ClC(Cl)Cl,433.5,460,4.6721 ,0.8400
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=C(F)C=C3)=O,C1CCOC1,427.5,466,4.6191 ,0.8300
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=C(F)C=C3)=O,CC(C)=O,428,471,4.6284 ,0.2900
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=C(F)C=C3)=O,CC#N,429.5,475,4.6551 ,0.1700
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=C(F)C=C3)=O,CO,434,478,4.7007 ,0.1100
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=C(F)C=C3)=O,O=S(C)C,435.5,481,4.6857 ,0.2400
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C(N/N=C/C3=CC=C(F)C=C3)=O,[H]O[H],432,559,4.4314 ,0.3000
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,CCCCCC,382,443,4.4044 ,0.5334
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,O1CCOCC1,382,470,4.3768 ,0.8723
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,CC(OCC)=O,387,487,4.3391 ,0.7523
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,C1CCOC1,392,492,4.3708 ,0.6060
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,CC1=C/C(C=C(O1)/C=C/C2=CC=C(N(C)C)C=C2)=C(C#N)\C#N,398,498,4.4165,0.6046
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,CC(C)=O,400,519,4.4027 ,0.4546
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,CC#N,397,528,4.4108 ,0.3699
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,O=C(OC)C1=CC=CC=C1C(OC)=O,398,538,4.3557,0.2947
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,O=S(C)C,401,542,4.4307,0.2043
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,CCO,401,539,4.3658,0.2033 
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,CO,398,549,4.3717,0.0406
O=C(N(CCOC)C1=O)C2=CC=C(C#CC3=CC=C(OC)C=C3)C4=CC=CC1=C42,[H]O[H],401,524,4.1282 ,0.0752
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CCCCCC,384,445,4.2494 ,0.0286
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,O1CCOCC1,387,471,4.3607 ,0.2049 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CC(OCC)=O,387,491,4.3689 ,0.4273 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,C1CCOC1,397,492,4.3520 ,0.5204 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CC1=C/C(C=C(O1)/C=C/C2=CC=C(N(C)C)C=C2)=C(C#N)\C#N,398,499,4.3376 ,0.5614 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CC(C)=O,397,520,4.3261 ,0.4301 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CC#N,397,531,4.3719 ,0.3132 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,O=C(OC)C1=CC=CC=C1C(OC)=O,398,539,4.3520 ,0.2797 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,O=S(C)C,403,544,4.4319 ,0.1472 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CCO,398,540,4.3601 ,0.1525 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CO,397,549,4.3113 ,0.0361 
O=C(N(C1=CC=CO1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,[H]O[H],398,524,4.0315 ,0.0365 
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CCCCCC,389,447,4.2868 ,0.3511 
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,O1CCOCC1,388,470,4.5131 ,0.9662 
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CC(OCC)=O,397,489,4.5091 ,0.6916 
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,C1CCOC1,392,495,4.4985 ,0.6864 
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CC1=C/C(C=C(O1)/C=C/C2=CC=C(N(C)C)C=C2)=C(C#N)\C#N,398,498,4.5250,0.6000
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CC(C)=O,398,520,4.6444,0.4167
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CC#N,398,532,4.5341,0.3199
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,O=C(OC)C1=CC=CC=C1C(OC)=O,398,541,4.5238,0.2625
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,O=S(C)C,403,549,4.5173,0.1821
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CCO,401,541,4.5364,0.1806
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,CO,397,553,4.5265,0.0666
O=C(N(C1=CC=CS1)C2=O)C3=CC=C(C#CC4=CC=C(OC)C=C4)C5=CC=CC2=C53,[H]O[H],403,517,4.0200,0.0885
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,CC1=CC=CC=C1,394,476,3.9418,0.5900
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,ClC(Cl)Cl,397,478,4.0194,0.6500
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,CC1=C/C(C=C(O1)/C=C/C2=CC=C(N(C)C)C=C2)=C(C#N)\C#N,397,485,3.9670,0.7500
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,CCN,395,487,3.9339,0.5400
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,CC#N,399,503,3.9343,0.5700
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,O=C(OC)C1=CC=CC=C1C(OC)=O,404,503,3.9116,0.7200
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,O=S(C)C,410,511,3.9539,0.7500
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,CCO,399,503,3.9118,0.6700
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,CO,400,510,3.9233,0.6200
N#CC1=CC=CC2=C1C(C#N)=CC=C2N3CCC3,[H]O[H],396,538,3.8435,0.3800
